,you,bee,it,we,what,re,that,know,barry,honey,right,this,like,no,they,get,and,oh,one,got
you,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
bee,0.8333333333333333,0.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8692269873603532,0.8333333333333333,0.844048754903172,0.8382736442849092,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8382736442849092,0.8333333333333333
it,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
we,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
what,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
re,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
that,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
know,0.5,0.7465768876548,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5423261445466405,0.5198752449100363,0.5,0.8588975014708023,0.5,0.5,0.5,0.5,0.5,0.5198752449100363,0.5
barry,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
honey,0.25,0.6683721354720062,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.0,0.29637448918190956,0.25,0.7918643699067844,0.25,0.25,0.25,0.25,0.25,0.29637448918190956,0.25
right,0.16666666666666666,0.652862549237373,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.47140452079103173,0.16666666666666666,0.2914915440650687,0.0,0.16666666666666666,0.7788179357521117,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.23249527748763857,0.16666666666666666
this,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
like,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
no,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
they,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
get,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
and,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
oh,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
one,0.16666666666666666,0.652862549237373,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.47140452079103173,0.16666666666666666,0.2914915440650687,0.23249527748763857,0.16666666666666666,0.7788179357521117,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
got,0.0,0.6401843996644798,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.24253562503633297,0.1643989873053573,0.0,0.7682212795973759,0.0,0.0,0.0,0.0,0.0,0.1643989873053573,0.0
